ID	Batch	Biosample	Accession	Ring	Tissue	Age	Sex
B2X3125_BL_ADL_M__SRR22581203	Saarland_Second	B2X3125_BL_ADL_M	SRR22581203	B2X3125	BL	ADL	M
B2X3498_BL_ADL_M__SRR22581194	Saarland_Second	B2X3498_BL_ADL_M	SRR22581194	B2X3498	BL	ADL	M
B2X4190_BL_ADL_M__SRR22581196	Saarland_Second	B2X4190_BL_ADL_M	SRR22581196	B2X4190	BL	ADL	M
B2X7410_BL_CHK_M__SRR22581213	Saarland_Second	B2X7410_BL_CHK_M	SRR22581213	B2X7410	BL	CHK	M
B2X7639_BL_CHK_F__SRR22581291	Saarland_Second	B2X7639_BL_CHK_F	SRR22581291	B2X7639	BL	CHK	F
B4P9995_BL_CHK_F__SRR22581172	Saarland_Second	B4P9995_BL_CHK_F	SRR22581172	B4P9995	BL	CHK	F
B4P8912_BL_ADL_F__SRR22581113	Saarland_Second	B4P8912_BL_ADL_F	SRR22581113	B4P8912	BL	ADL	F
B4P8531_BL_CHK_M__SRR22581118	Saarland_Second	B4P8531_BL_CHK_M	SRR22581118	B4P8531	BL	CHK	M
B3Y6099_BL_ADL_M__SRR22581246	Saarland_Second	B3Y6099_BL_ADL_M	SRR22581246	B3Y6099	BL	ADL	M
B2V8683_BL_ADL_M__SRR22581271	Saarland_Second	B2V8683_BL_ADL_M	SRR22581271	B2V8683	BL	ADL	M
B2X3653_BL_ADL_F__SRR22581183	Saarland_Second	B2X3653_BL_ADL_F	SRR22581183	B2X3653	BL	ADL	F
B4H0632_BL_CHK_F__SRR22581137	Saarland_Second	B4H0632_BL_CHK_F	SRR22581137	B4H0632	BL	CHK	F
B2X3864_BL_ADL_F__SRR22581255	Saarland_Second	B2X3864_BL_ADL_F	SRR22581255	B2X3864	BL	ADL	F
B4P8236_BL_CHK_M__SRR22581193	Saarland_Second	B4P8236_BL_CHK_M	SRR22581193	B4P8236	BL	CHK	M
B4E9453_BL_CHK_M__SRR22581288	Saarland_Second	B4E9453_BL_CHK_M	SRR22581288	B4E9453	BL	CHK	M
B2V8308_BL_CHK_F__SRR22581270	Saarland_Second	B2V8308_BL_CHK_F	SRR22581270	B2V8308	BL	CHK	F
B2X4197_BL_ADL_F__SRR22581290	Saarland_Second	B2X4197_BL_ADL_F	SRR22581290	B2X4197	BL	ADL	F
B4E9454_BL_CHK_F__SRR22581228	Saarland_Second	B4E9454_BL_CHK_F	SRR22581228	B4E9454	BL	CHK	F
B4H0635_BL_CHK_F__SRR22581181	Saarland_Second	B4H0635_BL_CHK_F	SRR22581181	B4H0635	BL	CHK	F
B2X7097_BL_CHK_M__SRR22581230	Saarland_Second	B2X7097_BL_CHK_M	SRR22581230	B2X7097	BL	CHK	M
B3Y5977_BL_CHK_M__SRR22581275	Saarland_Second	B3Y5977_BL_CHK_M	SRR22581275	B3Y5977	BL	CHK	M
B2X7828_BL_ADL_M__SRR22581126	Saarland_Second	B2X7828_BL_ADL_M	SRR22581126	B2X7828	BL	ADL	M
B2X7890_BL_ADL_F__SRR22581250	Saarland_Second	B2X7890_BL_ADL_F	SRR22581250	B2X7890	BL	ADL	F
B2X7340_BL_CHK_F__SRR22581300	Saarland_Second	B2X7340_BL_CHK_F	SRR22581300	B2X7340	BL	CHK	F
B2X3614_BL_CHK_F__SRR22581293	Saarland_Second	B2X3614_BL_CHK_F	SRR22581293	B2X3614	BL	CHK	F
B2X3686_BL_ADL_M__SRR22581262	Saarland_Second	B2X3686_BL_ADL_M	SRR22581262	B2X3686	BL	ADL	M
B4H0830_BL_CHK_M__SRR22581155	Saarland_Second	B4H0830_BL_CHK_M	SRR22581155	B4H0830	BL	CHK	M
B2X7833_BL_ADL_F__SRR22581117	Saarland_Second	B2X7833_BL_ADL_F	SRR22581117	B2X7833	BL	ADL	F
B2X7889_BL_ADL_M__SRR22581238	Saarland_Second	B2X7889_BL_ADL_M	SRR22581238	B2X7889	BL	ADL	M
B2X7090_BL_CHK_F__SRR22581292	Saarland_Second	B2X7090_BL_CHK_F	SRR22581292	B2X7090	BL	CHK	F
B3Y5820_BL_CHK_M__SRR22581298	Saarland_Second	B3Y5820_BL_CHK_M	SRR22581298	B3Y5820	BL	CHK	M
B2V8972_BL_ADL_F__SRR22581185	Saarland_Second	B2V8972_BL_ADL_F	SRR22581185	B2V8972	BL	ADL	F
B4H1194_BL_CHK_F__SRR22581129	Saarland_Second	B4H1194_BL_CHK_F	SRR22581129	B4H1194	BL	CHK	F
B2X3238_BL_CHK_F__SRR22581151	Saarland_Second	B2X3238_BL_CHK_F	SRR22581151	B2X3238	BL	CHK	F
B2X3020_BL_ADL_M__SRR22581192	Saarland_Second	B2X3020_BL_ADL_M	SRR22581192	B2X3020	BL	ADL	M
B2X3350_BL_CHK_M__SRR22581160	Saarland_Second	B2X3350_BL_CHK_M	SRR22581160	B2X3350	BL	CHK	M
B4H0543_BL_CHK_M__SRR22581256	Saarland_Second	B4H0543_BL_CHK_M	SRR22581256	B4H0543	BL	CHK	M
B2X4112_BL_ADL_M__SRR22581200	Saarland_Second	B2X4112_BL_ADL_M	SRR22581200	B2X4112	BL	ADL	M
B2V8841_BL_ADL_F__SRR22581175	Saarland_Second	B2V8841_BL_ADL_F	SRR22581175	B2V8841	BL	ADL	F
B2X7642_BL_ADL_M__SRR22581286	Saarland_Second	B2X7642_BL_ADL_M	SRR22581286	B2X7642	BL	ADL	M
B4E9451_BL_CHK_F__SRR22581144	Saarland_Second	B4E9451_BL_CHK_F	SRR22581144	B4E9451	BL	CHK	F
B3Y6650_BL_CHK_F__SRR22581274	Saarland_Second	B3Y6650_BL_CHK_F	SRR22581274	B3Y6650	BL	CHK	F
B4H0548_BL_CHK_M__SRR22581127	Saarland_Second	B4H0548_BL_CHK_M	SRR22581127	B4H0548	BL	CHK	M
B1P5975_BL_ADL_M__SRR22581215	Saarland_Second	B1P5975_BL_ADL_M	SRR22581215	B1P5975	BL	ADL	M
B2X4123_BL_ADL_F__SRR22581207	Saarland_Second	B2X4123_BL_ADL_F	SRR22581207	B2X4123	BL	ADL	F
B1V5571_BL_ADL_F__SRR22581235	Saarland_Second	B1V5571_BL_ADL_F	SRR22581235	B1V5571	BL	ADL	F
B3Y5982_BL_CHK_F__SRR22581166	Saarland_Second	B3Y5982_BL_CHK_F	SRR22581166	B3Y5982	BL	CHK	F
B3Y5820_BL_ADL_M__SRR22581176	Saarland_Second	B3Y5820_BL_ADL_M	SRR22581176	B3Y5820	BL	ADL	M
B2X3682_BL_ADL_M__SRR22581125	Saarland_Second	B2X3682_BL_ADL_M	SRR22581125	B2X3682	BL	ADL	M
B3Y5804_BL_CHK_M__SRR22581211	Saarland_Second	B3Y5804_BL_CHK_M	SRR22581211	B3Y5804	BL	CHK	M
B2X3716_BL_CHK_F__SRR22581173	Saarland_Second	B2X3716_BL_CHK_F	SRR22581173	B2X3716	BL	CHK	F
B3Y6645_BL_CHK_F__SRR22581218	Saarland_Second	B3Y6645_BL_CHK_F	SRR22581218	B3Y6645	BL	CHK	F
B4H0271_BL_ADL_M__SRR22581294	Saarland_Second	B4H0271_BL_ADL_M	SRR22581294	B4H0271	BL	ADL	M
B4H1338_BL_ADL_F__SRR22581251	Saarland_Second	B4H1338_BL_ADL_F	SRR22581251	B4H1338	BL	ADL	F
B2X4934_BL_ADL_F__SRR22581195	Saarland_Second	B2X4934_BL_ADL_F	SRR22581195	B2X4934	BL	ADL	F
B3Y6823_BL_CHK_M__SRR22581281	Saarland_Second	B3Y6823_BL_CHK_M	SRR22581281	B3Y6823	BL	CHK	M
B2X7378_BL_CHK_F__SRR22581150	Saarland_Second	B2X7378_BL_CHK_F	SRR22581150	B2X7378	BL	CHK	F
B2X7045_BL_ADL_M__SRR22581131	Saarland_Second	B2X7045_BL_ADL_M	SRR22581131	B2X7045	BL	ADL	M
B2X4037_BL_CHK_M__SRR22581112	Saarland_Second	B2X4037_BL_CHK_M	SRR22581112	B2X4037	BL	CHK	M
